x,y,LOCAL_MONTH,MAX_REL_HUMIDITY,ID,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,SPEED_MAX_GUST,MAX_TEMPERATURE,TOTAL_RAIN,LOCAL_DAY,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,LOCAL_DATE,MIN_REL_HUMIDITY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG
-52.7525,47.618611111111115,3,,8403505.2012.3.30,,,NL,,2012,56,1.4,0,30,,6,,ST. JOHN'S INTL A,,6,18.9,-0.9,,0,,,2,0,,8403505,2012-03-30 00:00:00,,-3.1,T,,
-52.7525,47.618611111111115,3,,8403505.2012.3.31,,,NL,,2012,74,-1.9,0.2,31,,24.8,,ST. JOHN'S INTL A,,23.2,20.7,-2.7,,0,,,36,12,,8403505,2012-03-31 00:00:00,,-3.5,,,
-52.7525,47.618611111111115,4,,8403505.2012.4.6,,,NL,,2012,65,6.6,0,6,,0,,ST. JOHN'S INTL A,,0,15.3,2.7,,0,,,13,4,,8403505,2012-04-06 00:00:00,,-1.3,,,
-52.7525,47.618611111111115,4,,8403505.2012.4.21,,,NL,,2012,39,18.1,0,21,,0,,ST. JOHN'S INTL A,,0,7.3,10.7,,0,,,13,,,8403505,2012-04-21 00:00:00,,3.2,,,
-52.7525,47.618611111111115,4,,8403505.2012.4.22,,,NL,T,2012,56,16.9,0,22,,0,,ST. JOHN'S INTL A,,0,7.3,10.7,,0,,,13,,T,8403505,2012-04-22 00:00:00,,4.4,,,
-52.7525,47.618611111111115,4,,8403505.2012.4.23,,,NL,,2012,39,9.4,0.4,23,,0,,ST. JOHN'S INTL A,,0.4,13,5,,0,,,5,,,8403505,2012-04-23 00:00:00,,0.5,,,
-52.7525,47.618611111111115,4,,8403505.2012.4.27,,,NL,,2012,70,17.2,3.8,27,,0,,ST. JOHN'S INTL A,,3.8,7.6,10.4,,0,,,13,,,8403505,2012-04-27 00:00:00,,3.5,,,
-52.7525,47.618611111111115,4,,8403505.2012.4.30,,,NL,,2012,46,4.4,0,30,,7.6,,ST. JOHN'S INTL A,,6,16.9,1.1,,0,,,2,6,,8403505,2012-04-30 00:00:00,,-2.3,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.1,,,NL,,2012,63,5.4,0,1,,0,,ST. JOHN'S INTL A,,0,16.2,1.8,,0,,,7,0,,8403505,2012-05-01 00:00:00,,-1.8,T,,
-52.7525,47.618611111111115,5,,8403505.2012.5.2,,,NL,,2012,65,1.4,7.4,2,,6,,ST. JOHN'S INTL A,,13.4,18.2,-0.2,,0,,,32,0,,8403505,2012-05-02 00:00:00,,-1.8,T,,
-52.7525,47.618611111111115,5,,8403505.2012.5.3,,,NL,,2012,59,2.9,5.2,3,,0,,ST. JOHN'S INTL A,,5.2,16.8,1.2,,0,,,5,0,,8403505,2012-05-03 00:00:00,,-0.6,T,,T
-52.7525,47.618611111111115,5,,8403505.2012.5.4,,,NL,,2012,63,3.7,4.8,4,,0,,ST. JOHN'S INTL A,,4.8,15.6,2.4,,0,,,6,,,8403505,2012-05-04 00:00:00,,1,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.5,,,NL,,2012,50,6.1,0.2,5,,0,,ST. JOHN'S INTL A,,0.2,14,4,,0,,,8,,,8403505,2012-05-05 00:00:00,,1.8,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.6,,,NL,,2012,0,5.2,0.4,6,,0,,ST. JOHN'S INTL A,,0.4,14.5,3.5,,0,,,0,,,8403505,2012-05-06 00:00:00,,1.7,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.7,,,NL,,2012,46,10.8,0,7,,0,,ST. JOHN'S INTL A,,0,11.1,6.9,,0,,,8,,,8403505,2012-05-07 00:00:00,,2.9,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.8,,,NL,,2012,0,10.7,0,8,,0,,ST. JOHN'S INTL A,,0,11.3,6.7,,0,,,0,,,8403505,2012-05-08 00:00:00,,2.7,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.9,,,NL,,2012,37,13.4,0,9,,0,,ST. JOHN'S INTL A,,0,9.5,8.5,,0,,,27,,,8403505,2012-05-09 00:00:00,,3.5,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.10,,,NL,,2012,65,16.7,1.6,10,,0,,ST. JOHN'S INTL A,,1.6,6.8,11.2,,0,,,23,,,8403505,2012-05-10 00:00:00,,5.7,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.11,,,NL,,2012,74,20.8,0.2,11,,0,,ST. JOHN'S INTL A,,0.2,4.9,13.1,,0,,,23,,,8403505,2012-05-11 00:00:00,,5.4,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.12,,,NL,,2012,70,18.2,0.4,12,,0,,ST. JOHN'S INTL A,,0.4,5.1,12.9,,0,,,18,,,8403505,2012-05-12 00:00:00,,7.6,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.13,,,NL,,2012,35,9.1,18,13,,0,,ST. JOHN'S INTL A,,18,11.3,6.7,,0,,,31,,,8403505,2012-05-13 00:00:00,,4.3,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.14,,,NL,,2012,41,10.9,0,14,,0,,ST. JOHN'S INTL A,,0,11.6,6.4,,0,,,27,,,8403505,2012-05-14 00:00:00,,1.9,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.15,,,NL,T,2012,39,19,0,15,,0,,ST. JOHN'S INTL A,,0,6.2,11.8,,0,,,26,,T,8403505,2012-05-15 00:00:00,,4.6,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.16,,,NL,,2012,46,22.1,0.4,16,,0,,ST. JOHN'S INTL A,,0.4,1.8,16.2,,0,,,23,,,8403505,2012-05-16 00:00:00,,10.2,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.17,,,NL,,2012,70,22.1,1,17,,0,,ST. JOHN'S INTL A,,1,1.1,16.9,,0,,,22,,,8403505,2012-05-17 00:00:00,,11.6,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.18,,,NL,,2012,65,16.5,11.6,18,,0,,ST. JOHN'S INTL A,,11.6,7.4,10.6,,0,,,26,,,8403505,2012-05-18 00:00:00,,4.7,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.19,,,NL,,2012,80,17.5,0,19,,0,,ST. JOHN'S INTL A,,0,7.1,10.9,,0,,,25,,,8403505,2012-05-19 00:00:00,,4.2,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.20,,,NL,,2012,41,9.7,0,20,,0,,ST. JOHN'S INTL A,,0,13.2,4.8,,0,,,34,,,8403505,2012-05-20 00:00:00,,-0.2,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.21,,,NL,,2012,35,13.7,0,21,,0,,ST. JOHN'S INTL A,,0,10.2,7.8,,0,,,28,,,8403505,2012-05-21 00:00:00,,1.9,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.22,,,NL,,2012,59,26.4,0,22,,0,,ST. JOHN'S INTL A,,0,1.3,16.7,,0,,,26,,,8403505,2012-05-22 00:00:00,,7,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.23,,,NL,,2012,70,21.9,11.2,23,,0,,ST. JOHN'S INTL A,,11.2,5.3,12.7,,0,,,21,,,8403505,2012-05-23 00:00:00,,3.4,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.24,,,NL,,2012,63,8.2,2.2,24,,0,,ST. JOHN'S INTL A,,2.2,13.7,4.3,,0,,,36,,,8403505,2012-05-24 00:00:00,,0.3,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.25,,,NL,,2012,70,18.1,0,25,,0,,ST. JOHN'S INTL A,,0,7.9,10.1,,0,,,26,,,8403505,2012-05-25 00:00:00,,2,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.26,,,NL,,2012,61,19.7,0.6,26,,0,,ST. JOHN'S INTL A,,0.6,4.5,13.5,,0,,,27,,,8403505,2012-05-26 00:00:00,,7.3,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.27,,,NL,T,2012,52,13.7,0,27,,0,,ST. JOHN'S INTL A,,0,11.4,6.6,,0,,,2,,T,8403505,2012-05-27 00:00:00,,-0.6,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.28,,,NL,,2012,33,7.9,3.6,28,,1,,ST. JOHN'S INTL A,,4.6,14.3,3.7,,0,,,14,0,,8403505,2012-05-28 00:00:00,,-0.5,T,,
-52.7525,47.618611111111115,5,,8403505.2012.5.29,,,NL,,2012,76,6.4,0.4,29,,0,,ST. JOHN'S INTL A,,0.4,15.5,2.5,,0,,,32,,,8403505,2012-05-29 00:00:00,,-1.5,,,T
-52.7525,47.618611111111115,5,,8403505.2012.5.30,,,NL,,2012,56,6.1,0.6,30,,0,,ST. JOHN'S INTL A,,0.6,13.7,4.3,,0,,,33,,,8403505,2012-05-30 00:00:00,,2.5,,,
-52.7525,47.618611111111115,5,,8403505.2012.5.31,,,NL,T,2012,0,10,0,31,,0,,ST. JOHN'S INTL A,,0,11.4,6.6,,0,,,0,,T,8403505,2012-05-31 00:00:00,,3.1,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.1,,,NL,,2012,44,10.2,1.4,1,,0,,ST. JOHN'S INTL A,,1.4,10.8,7.2,,0,,,33,,,8403505,2012-06-01 00:00:00,,4.2,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.2,,,NL,,2012,63,6,1.8,2,,0,,ST. JOHN'S INTL A,,1.8,13.3,4.7,,0,,,33,,,8403505,2012-06-02 00:00:00,,3.4,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.3,,,NL,,2012,69,7.2,0.4,3,,0,,ST. JOHN'S INTL A,,0.4,12.7,5.3,,0,,,33,,,8403505,2012-06-03 00:00:00,,3.3,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.4,,,NL,,2012,48,5.5,2.2,4,,0,,ST. JOHN'S INTL A,,2.2,13.6,4.4,,0,,,34,,,8403505,2012-06-04 00:00:00,,3.2,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.5,,,NL,,2012,35,6.1,3,5,,0,,ST. JOHN'S INTL A,,3,13.3,4.7,,0,,,9,,,8403505,2012-06-05 00:00:00,,3.2,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.6,,,NL,,2012,67,11.6,31.2,6,,0,,ST. JOHN'S INTL A,,31.2,10.1,7.9,,0,,,7,,,8403505,2012-06-06 00:00:00,,4.2,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.7,,,NL,,2012,37,9.9,3.2,7,,0,,ST. JOHN'S INTL A,,3.2,11.5,6.5,,0,,,32,,,8403505,2012-06-07 00:00:00,,3,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.8,,,NL,,2012,61,6.3,3.2,8,,0,,ST. JOHN'S INTL A,,3.2,13.3,4.7,,0,,,33,,,8403505,2012-06-08 00:00:00,,3,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.9,,,NL,T,2012,43,9.8,0,9,,0,,ST. JOHN'S INTL A,,0,11.6,6.4,,0,,,33,,T,8403505,2012-06-09 00:00:00,,2.9,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.10,,,NL,,2012,46,10.4,0.2,10,,0,,ST. JOHN'S INTL A,,0.2,11.4,6.6,,0,,,11,,,8403505,2012-06-10 00:00:00,,2.7,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.11,,,NL,T,2012,0,11.9,0,11,,0,,ST. JOHN'S INTL A,,0,10.3,7.7,,0,,,0,,T,8403505,2012-06-11 00:00:00,,3.5,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.12,,,NL,,2012,44,17,0,12,,0,,ST. JOHN'S INTL A,,0,8,10,,0,,,17,,,8403505,2012-06-12 00:00:00,,2.9,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.13,,,NL,,2012,37,23.6,0,13,,0,,ST. JOHN'S INTL A,,0,2,16,,0,,,26,,,8403505,2012-06-13 00:00:00,,8.4,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.14,,,NL,T,2012,37,11.9,0,14,,0,,ST. JOHN'S INTL A,,0,9,9,,0,,,8,,T,8403505,2012-06-14 00:00:00,,6.1,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.15,,,NL,T,2012,43,9.3,0,15,,0,,ST. JOHN'S INTL A,,0,10.8,7.2,,0,,,7,,T,8403505,2012-06-15 00:00:00,,5.1,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.16,,,NL,,2012,39,9.1,0,16,,0,,ST. JOHN'S INTL A,,0,12.9,5.1,,0,,,4,,,8403505,2012-06-16 00:00:00,,1.1,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.17,,,NL,,2012,35,12.5,0,17,,0,,ST. JOHN'S INTL A,,0,11.1,6.9,,0,,,15,,,8403505,2012-06-17 00:00:00,,1.2,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.18,,,NL,T,2012,37,19.8,0,18,,0,,ST. JOHN'S INTL A,,0,5.1,12.9,,0,,,25,,T,8403505,2012-06-18 00:00:00,,5.9,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.19,,,NL,,2012,35,20.4,0,19,,0,,ST. JOHN'S INTL A,,0,3.9,14.1,,0,,,18,,,8403505,2012-06-19 00:00:00,,7.7,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.20,,,NL,T,2012,43,22,0,20,,0,,ST. JOHN'S INTL A,,0,3.1,14.9,,0,,,6,,T,8403505,2012-06-20 00:00:00,,7.7,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.21,,,NL,,2012,33,15.4,0.2,21,,0,,ST. JOHN'S INTL A,,0.2,6.4,11.6,,0,,,26,,,8403505,2012-06-21 00:00:00,,7.8,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.22,,,NL,,2012,33,12.9,0.2,22,,0,,ST. JOHN'S INTL A,,0.2,7.5,10.5,,0,,,3,,,8403505,2012-06-22 00:00:00,,8,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.23,,,NL,,2012,0,14.6,0.2,23,,0,,ST. JOHN'S INTL A,,0.2,7.6,10.4,,0,,,0,,,8403505,2012-06-23 00:00:00,,6.1,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.24,,,NL,T,2012,32,17,0,24,,0,,ST. JOHN'S INTL A,,0,6.9,11.1,,0,,,14,,T,8403505,2012-06-24 00:00:00,,5.1,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.25,,,NL,T,2012,35,15.1,0,25,,0,,ST. JOHN'S INTL A,,0,7.3,10.7,,0,,,14,,T,8403505,2012-06-25 00:00:00,,6.2,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.26,,,NL,T,2012,41,15.5,0,26,,0,,ST. JOHN'S INTL A,,0,6,12,,0,,,17,,T,8403505,2012-06-26 00:00:00,,8.4,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.27,,,NL,,2012,63,16.1,5.6,27,,0,,ST. JOHN'S INTL A,,5.6,5.5,12.5,,0,,,19,,,8403505,2012-06-27 00:00:00,,8.9,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.28,,,NL,,2012,70,19.9,6.4,28,,0,,ST. JOHN'S INTL A,,6.4,1.4,16.6,,0,,,18,,,8403505,2012-06-28 00:00:00,,13.2,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.29,,,NL,T,2012,63,23.5,0,29,,0,,ST. JOHN'S INTL A,,0,0,18.5,,0.5,,,22,,T,8403505,2012-06-29 00:00:00,,13.5,,,
-52.7525,47.618611111111115,6,,8403505.2012.6.30,,,NL,,2012,61,25,0.8,30,,0,,ST. JOHN'S INTL A,,0.8,0,19.3,,1.3,,,26,,,8403505,2012-06-30 00:00:00,,13.5,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.1,,,NL,T,2012,41,27.6,0,1,,0,,ST. JOHN'S INTL A,,0,0,20.7,,2.7,,,20,,T,8403505,2012-07-01 00:00:00,,13.8,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.2,,,NL,,2012,52,27.4,3.2,2,,0,,ST. JOHN'S INTL A,,3.2,0,20.5,,2.5,,,20,,,8403505,2012-07-02 00:00:00,,13.5,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.3,,,NL,,2012,46,22.2,2.2,3,,0,,ST. JOHN'S INTL A,,2.2,0,19.1,,1.1,,,22,,,8403505,2012-07-03 00:00:00,,15.9,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.4,,,NL,T,2012,35,25.2,0,4,,0,,ST. JOHN'S INTL A,,0,0,19.4,,1.4,,,25,,T,8403505,2012-07-04 00:00:00,,13.5,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.5,,,NL,T,2012,33,26.2,0,5,,0,,ST. JOHN'S INTL A,,0,0,19.7,,1.7,,,27,,T,8403505,2012-07-05 00:00:00,,13.2,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.6,,,NL,,2012,52,20.3,13.8,6,,0,,ST. JOHN'S INTL A,,13.8,1.4,16.6,,0,,,16,,,8403505,2012-07-06 00:00:00,,12.9,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.7,,,NL,,2012,61,20.1,8.8,7,,0,,ST. JOHN'S INTL A,,8.8,0.9,17.1,,0,,,19,,,8403505,2012-07-07 00:00:00,,14.1,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.8,,,NL,,2012,46,22.1,7.6,8,,0,,ST. JOHN'S INTL A,,7.6,0,18.1,,0.1,,,22,,,8403505,2012-07-08 00:00:00,,14,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.9,,,NL,T,2012,54,22.6,0,9,,0,,ST. JOHN'S INTL A,,0,0,18.1,,0.1,,,26,,T,8403505,2012-07-09 00:00:00,,13.5,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.10,,,NL,,2012,54,23.8,0,10,,0,,ST. JOHN'S INTL A,,0,0,18.2,,0.2,,,26,,,8403505,2012-07-10 00:00:00,,12.6,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.11,,,NL,,2012,56,25.4,0,11,,0,,ST. JOHN'S INTL A,,0,0,18.4,,0.4,,,25,,,8403505,2012-07-11 00:00:00,,11.3,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.12,,,NL,,2012,52,24.5,0,12,,0,,ST. JOHN'S INTL A,,0,0.1,17.9,,0,,,24,,,8403505,2012-07-12 00:00:00,,11.3,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.13,,,NL,,2012,52,23.9,0,13,,0,,ST. JOHN'S INTL A,,0,0.6,17.4,,0,,,26,,,8403505,2012-07-13 00:00:00,,10.8,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.14,,,NL,,2012,35,21.2,0,14,,0,,ST. JOHN'S INTL A,,0,3.3,14.7,,0,,,26,,,8403505,2012-07-14 00:00:00,,8.1,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.15,,,NL,T,2012,37,18.4,0,15,,0,,ST. JOHN'S INTL A,,0,4.9,13.1,,0,,,3,,T,8403505,2012-07-15 00:00:00,,7.8,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.16,,,NL,,2012,48,23.3,0,16,,0,,ST. JOHN'S INTL A,,0,0.4,17.6,,0,,,24,,,8403505,2012-07-16 00:00:00,,11.8,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.17,,,NL,,2012,35,21.9,0.6,17,,0,,ST. JOHN'S INTL A,,0.6,0.3,17.7,,0,,,18,,,8403505,2012-07-17 00:00:00,,13.5,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.18,,,NL,T,2012,63,23.9,0,18,,0,,ST. JOHN'S INTL A,,0,0,18.8,,0.8,,,23,,T,8403505,2012-07-18 00:00:00,,13.6,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.19,,,NL,T,2012,54,22.4,0,19,,0,,ST. JOHN'S INTL A,,0,0,18.5,,0.5,,,25,,T,8403505,2012-07-19 00:00:00,,14.6,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.20,,,NL,,2012,56,17.5,2.4,20,,0,,ST. JOHN'S INTL A,,2.4,4.2,13.8,,0,,,32,,,8403505,2012-07-20 00:00:00,,10,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.21,,,NL,,2012,48,22.8,0,21,,0,,ST. JOHN'S INTL A,,0,1.6,16.4,,0,,,25,,,8403505,2012-07-21 00:00:00,,10,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.22,,,NL,,2012,41,25.4,0,22,,0,,ST. JOHN'S INTL A,,0,0,18.9,,0.9,,,28,,,8403505,2012-07-22 00:00:00,,12.4,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.23,,,NL,,2012,54,24,0,23,,0,,ST. JOHN'S INTL A,,0,0,18.4,,0.4,,,24,,,8403505,2012-07-23 00:00:00,,12.7,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.24,,,NL,T,2012,59,26.4,0,24,,0,,ST. JOHN'S INTL A,,0,0,19.4,,1.4,,,24,,T,8403505,2012-07-24 00:00:00,,12.3,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.25,,,NL,T,2012,56,22.2,0,25,,0,,ST. JOHN'S INTL A,,0,0.5,17.5,,0,,,17,,T,8403505,2012-07-25 00:00:00,,12.8,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.26,,,NL,,2012,50,22.8,2.6,26,,0,,ST. JOHN'S INTL A,,2.6,0.2,17.8,,0,,,16,,,8403505,2012-07-26 00:00:00,,12.8,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.27,,,NL,,2012,54,27.8,3.2,27,,0,,ST. JOHN'S INTL A,,3.2,0,21.3,,3.3,,,27,,,8403505,2012-07-27 00:00:00,,14.8,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.28,,,NL,,2012,46,15,6.8,28,,0,,ST. JOHN'S INTL A,,6.8,5,13,,0,,,14,,,8403505,2012-07-28 00:00:00,,10.9,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.29,,,NL,,2012,39,21.6,0,29,,0,,ST. JOHN'S INTL A,,0,1.8,16.2,,0,,,18,,,8403505,2012-07-29 00:00:00,,10.7,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.30,,,NL,,2012,46,17.4,7.2,30,,0,,ST. JOHN'S INTL A,,7.2,3.2,14.8,,0,,,13,,,8403505,2012-07-30 00:00:00,,12.2,,,
-52.7525,47.618611111111115,7,,8403505.2012.7.31,,,NL,T,2012,35,16.6,0,31,,0,,ST. JOHN'S INTL A,,0,3.4,14.6,,0,,,32,,T,8403505,2012-07-31 00:00:00,,12.6,,,
-52.7525,47.618611111111115,8,,8403505.2012.8.1,,,NL,T,2012,0,20.2,0,1,,0,,ST. JOHN'S INTL A,,0,1.6,16.4,,0,,,0,,T,8403505,2012-08-01 00:00:00,,12.5,,,
-52.7525,47.618611111111115,8,,8403505.2012.8.2,,,NL,,2012,46,22.6,0.2,2,,0,,ST. JOHN'S INTL A,,0.2,0.2,17.8,,0,,,18,,,8403505,2012-08-02 00:00:00,,13,,,
-52.7525,47.618611111111115,8,,8403505.2012.8.3,,,NL,,2012,54,23.6,0.8,3,,0,,ST. JOHN'S INTL A,,0.8,0,20.1,,2.1,,,25,,,8403505,2012-08-03 00:00:00,,16.5,,,
-52.7525,47.618611111111115,8,,8403505.2012.8.4,,,NL,T,2012,44,28.2,0,4,,0,,ST. JOHN'S INTL A,,0,0,20.4,,2.4,,,26,,T,8403505,2012-08-04 00:00:00,,12.6,,,
-52.7525,47.618611111111115,8,,8403505.2012.8.5,,,NL,,2012,50,19.1,0,5,,0,,ST. JOHN'S INTL A,,0,2.8,15.2,,0,,,9,,,8403505,2012-08-05 00:00:00,,11.2,,,
