x,y,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,LOCAL_MONTH,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SNOW_ON_GROUND,TOTAL_PRECIPITATION,MAX_TEMPERATURE,DIRECTION_MAX_GUST,TOTAL_SNOW_FLAG,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,LOCAL_YEAR,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,ID,CLIMATE_IDENTIFIER,PROVINCE_CODE,MIN_REL_HUMIDITY
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-16 00:00:00,-3.4,,5.3,0,,,,,,,16,1933,,,0,21.4,-6.7,,5.3,,8403500.1933.2.16,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-17 00:00:00,-5,,0,-0.6,,,,,,,17,1933,,,0,23,-9.4,,0,,8403500.1933.2.17,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-18 00:00:00,-0.9,,4.3,2.2,,,,,,,18,1933,,,0.3,18.9,-3.9,,4.1,,8403500.1933.2.18,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-19 00:00:00,-0.9,,7.9,1.1,,,,,,,19,1933,,,0,18.9,-2.8,,7.9,,8403500.1933.2.19,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-20 00:00:00,-3.4,,0,-0.6,,,,,,,20,1933,,,0,21.4,-6.1,,0,,8403500.1933.2.20,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-21 00:00:00,-4.2,,0,0.6,,,,,,,21,1933,,,0,22.2,-8.9,,0,,8403500.1933.2.21,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-22 00:00:00,-2.2,,7.6,0,,,,,,,22,1933,,,0,20.2,-4.4,,7.6,,8403500.1933.2.22,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-23 00:00:00,-7.3,,0,-6.7,,,,,,,23,1933,,,0,25.3,-7.8,,0,,8403500.1933.2.23,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-24 00:00:00,-3.1,,0,0,,,,,,,24,1933,,,0,21.1,-6.1,,0,,8403500.1933.2.24,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-25 00:00:00,-0.3,,0.5,0.6,,,,,,,25,1933,,,0,18.3,-1.1,,0.5,,8403500.1933.2.25,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-26 00:00:00,0.3,,3.6,1.1,,,,,,,26,1933,,,0,17.7,-0.6,,3.6,,8403500.1933.2.26,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-27 00:00:00,0.3,,14.5,2.8,,,,,,,27,1933,,,0,17.7,-2.2,,14.5,,8403500.1933.2.27,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-28 00:00:00,0.6,,1.8,1.7,,,,,,,28,1933,,,0,17.4,-0.6,,1.8,,8403500.1933.2.28,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-01 00:00:00,0.6,,4.8,1.1,,,,,,,1,1933,,,0,17.4,0,,4.8,,8403500.1933.3.1,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-02 00:00:00,-2.5,,0.8,0.6,,,,,,,2,1933,,,0,20.5,-5.6,,0.8,,8403500.1933.3.2,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-03 00:00:00,-1.4,,0.3,-0.6,,,,,,,3,1933,,,0.3,19.4,-2.2,,0,,8403500.1933.3.3,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-04 00:00:00,-2,,0.3,-1.1,,,,,,,4,1933,,,0.3,20,-2.8,,0,,8403500.1933.3.4,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-05 00:00:00,-1.1,,11.7,0,,,,,,,5,1933,,,11.7,19.1,-2.2,,0,,8403500.1933.3.5,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-06 00:00:00,0,,0,1.1,,T,,,,,6,1933,,,0,18,-1.1,T,0,,8403500.1933.3.6,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-07 00:00:00,-1.4,,0.3,-0.6,,,,,,,7,1933,,,0.3,19.4,-2.2,,0,,8403500.1933.3.7,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-08 00:00:00,-2.5,,0,1.7,,,,,,,8,1933,,,0,20.5,-6.7,,0,,8403500.1933.3.8,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-09 00:00:00,1.7,,8.4,7.2,,,,,,,9,1933,,,0,16.3,-3.9,,8.4,,8403500.1933.3.9,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-10 00:00:00,0.3,,3,1.7,,,,,,,10,1933,,,0.5,17.7,-1.1,,2.5,,8403500.1933.3.10,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-11 00:00:00,-6.7,,1,-5,,,,,,,11,1933,,,1,24.7,-8.3,,0,,8403500.1933.3.11,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-12 00:00:00,-6.1,,0,-3.9,,,,,,,12,1933,,,0,24.1,-8.3,,0,,8403500.1933.3.12,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-13 00:00:00,-6.7,,0,-2.8,,,,,,,13,1933,,,0,24.7,-10.6,,0,,8403500.1933.3.13,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-14 00:00:00,-6.4,,0,-3.3,,,,,,,14,1933,,,0,24.4,-9.4,,0,,8403500.1933.3.14,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-15 00:00:00,-5.3,,0,-1.1,,,,,,,15,1933,,,0,23.3,-9.4,,0,,8403500.1933.3.15,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-16 00:00:00,-1.7,,1,1.7,,,,,,,16,1933,,,1,19.7,-5,,0,,8403500.1933.3.16,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-17 00:00:00,-4.7,,0.3,-1.1,,,,,,,17,1933,,,0.3,22.7,-8.3,,0,,8403500.1933.3.17,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-18 00:00:00,-3.4,,0,-1.1,,T,,,,,18,1933,,,0,21.4,-5.6,T,0,,8403500.1933.3.18,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-19 00:00:00,-2,,0.5,1.7,,,,,,,19,1933,,,0.5,20,-5.6,,0,,8403500.1933.3.19,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-20 00:00:00,-1.7,,0,0,,,,,,,20,1933,,,0,19.7,-3.3,,0,,8403500.1933.3.20,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-21 00:00:00,-3.9,,0,-2.8,,T,,,,,21,1933,,,0,21.9,-5,T,0,,8403500.1933.3.21,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-22 00:00:00,-3.4,,8.1,-0.6,,,,,,,22,1933,,,8.1,21.4,-6.1,,0,,8403500.1933.3.22,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-23 00:00:00,-3.1,,0.5,-1.7,,,,,,,23,1933,,,0.5,21.1,-4.4,,0,,8403500.1933.3.23,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-24 00:00:00,-4.8,,0,-2.8,,,,,,,24,1933,,,0,22.8,-6.7,,0,,8403500.1933.3.24,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-25 00:00:00,-6.4,,0,-3.9,,,,,,,25,1933,,,0,24.4,-8.9,,0,,8403500.1933.3.25,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-26 00:00:00,-5.8,,0,-2.2,,,,,,,26,1933,,,0,23.8,-9.4,,0,,8403500.1933.3.26,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-27 00:00:00,-5,,0,0.6,,,,,,,27,1933,,,0,23,-10.6,,0,,8403500.1933.3.27,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-28 00:00:00,-1.1,,5.6,1.7,,,,,,,28,1933,,,5.6,19.1,-3.9,,0,,8403500.1933.3.28,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-29 00:00:00,1.4,,0,3.3,,,,,,,29,1933,,,0,16.6,-0.6,,0,,8403500.1933.3.29,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-30 00:00:00,2.8,,11.4,7.2,,,,,,,30,1933,,,0,15.2,-1.7,,11.4,,8403500.1933.3.30,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,3,ST JOHN'S,1933-03-31 00:00:00,-0.9,,4.3,0,,,,,,,31,1933,,,0,18.9,-1.7,,4.3,,8403500.1933.3.31,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-01 00:00:00,-0.9,,3.8,0,,,,,,,1,1933,,,0,18.9,-1.7,,3.8,,8403500.1933.4.1,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-02 00:00:00,-2,,0,1.1,,,,,,,2,1933,,,0,20,-5,,0,,8403500.1933.4.2,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-03 00:00:00,-2.5,,0,0.6,,,,,,,3,1933,,,0,20.5,-5.6,,0,,8403500.1933.4.3,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-04 00:00:00,-3.6,,0,0,,,,,,,4,1933,,,0,21.6,-7.2,,0,,8403500.1933.4.4,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-05 00:00:00,-0.8,,12.2,2.8,,,,,,,5,1933,,,0,18.8,-4.4,,12.2,,8403500.1933.4.5,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-06 00:00:00,0.6,,0.5,2.2,,,,,,,6,1933,,,0,17.4,-1.1,,0.5,,8403500.1933.4.6,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-07 00:00:00,2.3,,0.8,3.9,,,,,,,7,1933,,,0,15.7,0.6,,0.8,,8403500.1933.4.7,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-08 00:00:00,0.6,,0,1.7,,T,,,,,8,1933,,,0,17.4,-0.6,T,0,,8403500.1933.4.8,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-09 00:00:00,0.3,,0.8,1.7,,,,,,,9,1933,,,0,17.7,-1.1,,0.8,,8403500.1933.4.9,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-10 00:00:00,0.9,,10.9,1.7,,,,,,,10,1933,,,0,17.1,0,,10.9,,8403500.1933.4.10,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-11 00:00:00,1.4,,0,3.3,,,,,T,,11,1933,,,0,16.6,-0.6,T,0,,8403500.1933.4.11,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-12 00:00:00,-0.6,,0.3,0.6,,,,,,,12,1933,,,0.3,18.6,-1.7,,0,,8403500.1933.4.12,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-13 00:00:00,0,,0,2.2,,,,,,,13,1933,,,0,18,-2.2,,0,,8403500.1933.4.13,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-14 00:00:00,2.3,,0,7.8,,,,,,,14,1933,,,0,15.7,-3.3,,0,,8403500.1933.4.14,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-15 00:00:00,2.3,,0,7.8,,,,,,,15,1933,,,0,15.7,-3.3,,0,,8403500.1933.4.15,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-16 00:00:00,6.1,,0,11.1,,,,,,,16,1933,,,0,11.9,1.1,,0,,8403500.1933.4.16,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-17 00:00:00,3.3,,0,8.3,,,,,,,17,1933,,,0,14.7,-1.7,,0,,8403500.1933.4.17,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-18 00:00:00,2.5,,0,6.7,,,,,,,18,1933,,,0,15.5,-1.7,,0,,8403500.1933.4.18,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-19 00:00:00,-2,,0,0,,,,,,,19,1933,,,0,20,-3.9,,0,,8403500.1933.4.19,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-20 00:00:00,-2.8,,0.3,0,,,,,,,20,1933,,,0.3,20.8,-5.6,,0,,8403500.1933.4.20,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-21 00:00:00,1.7,,0.3,5,,,,,,,21,1933,,,0.3,16.3,-1.7,,0,,8403500.1933.4.21,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-22 00:00:00,4.7,,0,9.4,,,,,,,22,1933,,,0,13.3,0,,0,,8403500.1933.4.22,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-23 00:00:00,5.9,,0.3,11.1,,,,,,,23,1933,,,0,12.1,0.6,,0.3,,8403500.1933.4.23,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-24 00:00:00,0.6,,0.5,6.1,,,,,,,24,1933,,,0,17.4,-5,,0.5,,8403500.1933.4.24,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-25 00:00:00,6.9,,0,14.4,,,,,,,25,1933,,,0,11.1,-0.6,,0,,8403500.1933.4.25,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-26 00:00:00,10.6,,3.6,17.8,,,,,,,26,1933,,,0,7.4,3.3,,3.6,,8403500.1933.4.26,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-27 00:00:00,7.8,,24.6,10,,,,,,,27,1933,,,0,10.2,5.6,,24.6,,8403500.1933.4.27,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-28 00:00:00,5.6,,12.7,7.8,,,,,,,28,1933,,,0,12.4,3.3,,12.7,,8403500.1933.4.28,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-29 00:00:00,5,,0.5,7.8,,,,,,,29,1933,,,0,13,2.2,,0.5,,8403500.1933.4.29,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,4,ST JOHN'S,1933-04-30 00:00:00,7.5,,0,12.2,,,,,,,30,1933,,,0,10.5,2.8,,0,,8403500.1933.4.30,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-01 00:00:00,6.7,,0,11.7,,,,,,,1,1933,,,0,11.3,1.7,,0,,8403500.1933.5.1,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-02 00:00:00,9.2,,0,13.9,,,,,T,,2,1933,,,0,8.8,4.4,T,0,,8403500.1933.5.2,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-03 00:00:00,14.2,,6.1,20,,,,,,,3,1933,,,0,3.8,8.3,,6.1,,8403500.1933.5.3,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-04 00:00:00,11.7,,1.5,18.9,,,,,,,4,1933,,,0,6.3,4.4,,1.5,,8403500.1933.5.4,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-05 00:00:00,3.1,,0.3,6.1,,,,,,,5,1933,,,0,14.9,0,,0.3,,8403500.1933.5.5,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-06 00:00:00,2,,0,5,,,,,,,6,1933,,,0,16,-1.1,,0,,8403500.1933.5.6,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-07 00:00:00,3.1,,0,7.2,,,,,,,7,1933,,,0,14.9,-1.1,,0,,8403500.1933.5.7,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-08 00:00:00,1.1,,0.3,4.4,,,,,,,8,1933,,,0.3,16.9,-2.2,,0,,8403500.1933.5.8,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-09 00:00:00,3.9,,0,7.2,,,,,,,9,1933,,,0,14.1,0.6,,0,,8403500.1933.5.9,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-10 00:00:00,1.9,,0,4.4,,,,,,,10,1933,,,0,16.1,-0.6,,0,,8403500.1933.5.10,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-11 00:00:00,0.9,,0,2.8,,,,,,,11,1933,,,0,17.1,-1.1,,0,,8403500.1933.5.11,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-12 00:00:00,3.1,,0,6.7,,,,,,,12,1933,,,0,14.9,-0.6,,0,,8403500.1933.5.12,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-13 00:00:00,2.5,,16,5.6,,,,,,,13,1933,,,0,15.5,-0.6,,16,,8403500.1933.5.13,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-14 00:00:00,1.1,,1,6.1,,,,,,,14,1933,,,0,16.9,-3.9,,1,,8403500.1933.5.14,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-15 00:00:00,4.5,,6.4,6.7,,,,,,,15,1933,,,0,13.5,2.2,,6.4,,8403500.1933.5.15,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-16 00:00:00,5.3,,0.3,8.9,,,,,,,16,1933,,,0,12.7,1.7,,0.3,,8403500.1933.5.16,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-17 00:00:00,3.9,,0,6.1,,,,,,,17,1933,,,0,14.1,1.7,,0,,8403500.1933.5.17,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-18 00:00:00,8.1,,0,15,,,,,,,18,1933,,,0,9.9,1.1,,0,,8403500.1933.5.18,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-19 00:00:00,4.2,,0,7.8,,,,,,,19,1933,,,0,13.8,0.6,,0,,8403500.1933.5.19,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-20 00:00:00,8.9,,0,18.9,,,,,,,20,1933,,,0,9.1,-1.1,,0,,8403500.1933.5.20,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-21 00:00:00,3.9,,0,7.8,,,,,,,21,1933,,,0,14.1,0,,0,,8403500.1933.5.21,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-22 00:00:00,6.7,,0,13.9,,,,,,,22,1933,,,0,11.3,-0.6,,0,,8403500.1933.5.22,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-23 00:00:00,9.2,,0,15.6,,,,,,,23,1933,,,0,8.8,2.8,,0,,8403500.1933.5.23,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-24 00:00:00,7.3,,0,11.7,,,,,,,24,1933,,,0,10.7,2.8,,0,,8403500.1933.5.24,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-25 00:00:00,3.9,,4.3,8.3,,,,,,,25,1933,,,0,14.1,-0.6,,4.3,,8403500.1933.5.25,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-26 00:00:00,4.5,,1.3,8.9,,,,,,,26,1933,,,0,13.5,0,,1.3,,8403500.1933.5.26,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-27 00:00:00,5.9,,0,10.6,,,,,,,27,1933,,,0,12.1,1.1,,0,,8403500.1933.5.27,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-28 00:00:00,7.5,,0,12.8,,,,,,,28,1933,,,0,10.5,2.2,,0,,8403500.1933.5.28,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-29 00:00:00,6.7,,0,12.8,,,,,,,29,1933,,,0,11.3,0.6,,0,,8403500.1933.5.29,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-30 00:00:00,10,,0,16.7,,,,,,,30,1933,,,0,8,3.3,,0,,8403500.1933.5.30,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,5,ST JOHN'S,1933-05-31 00:00:00,8.9,,0,15,,,,,,,31,1933,,,0,9.1,2.8,,0,,8403500.1933.5.31,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-01 00:00:00,12.8,,0,19.4,,,,,,,1,1933,,,0,5.2,6.1,,0,,8403500.1933.6.1,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-02 00:00:00,10,,11.9,13.9,,,,,,,2,1933,,,0,8,6.1,,11.9,,8403500.1933.6.2,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-03 00:00:00,11.1,,0,17.8,,,,,,,3,1933,,,0,6.9,4.4,,0,,8403500.1933.6.3,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-04 00:00:00,9.5,,0,13.3,,,,,,,4,1933,,,0,8.5,5.6,,0,,8403500.1933.6.4,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-05 00:00:00,10.6,,0.3,16.1,,,,,,,5,1933,,,0,7.4,5,,0.3,,8403500.1933.6.5,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-06 00:00:00,12,,0,20,,,,,,,6,1933,,,0,6,3.9,,0,,8403500.1933.6.6,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-07 00:00:00,6.4,,0,8.9,,,,,T,,7,1933,,,0,11.6,3.9,T,0,,8403500.1933.6.7,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-08 00:00:00,8.4,,0,16.1,,,,,,,8,1933,,,0,9.6,0.6,,0,,8403500.1933.6.8,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,6,ST JOHN'S,1933-06-09 00:00:00,6.1,,4.1,8.9,,,,,,,9,1933,,,0,11.9,3.3,,4.1,,8403500.1933.6.9,8403500,NL,
