"day_of_year","avg_photoperiod","date"
95,13.0575595238095,2020-04-05
96,13.1142658730159,2020-04-06
97,13.1708928571429,2020-04-07
98,13.2273214285714,2020-04-08
99,13.2836706349206,2020-04-09
100,13.3398214285714,2020-04-10
101,13.3958333333333,2020-04-11
102,13.4516666666667,2020-04-12
103,13.5074206349206,2020-04-13
104,13.562876984127,2020-04-14
105,13.6181547619048,2020-04-15
106,13.6732936507937,2020-04-16
107,13.7281349206349,2020-04-17
108,13.7827976190476,2020-04-18
109,13.8372023809524,2020-04-19
110,13.8913293650794,2020-04-20
111,13.9452976190476,2020-04-21
112,13.9989484126984,2020-04-22
113,14.0522222222222,2020-04-23
114,14.1052777777778,2020-04-24
115,14.157996031746,2020-04-25
116,14.2104365079365,2020-04-26
117,14.2624007936508,2020-04-27
118,14.3140873015873,2020-04-28
119,14.3653571428571,2020-04-29
120,14.4162698412698,2020-04-30
121,14.466746031746,2020-05-01
122,14.5168055555556,2020-05-02
123,14.5664285714286,2020-05-03
124,14.6155753968254,2020-05-04
125,14.6642063492063,2020-05-05
126,14.7123412698413,2020-05-06
127,14.7600198412698,2020-05-07
128,14.8070634920635,2020-05-08
129,14.8536111111111,2020-05-09
130,14.8995238095238,2020-05-10
131,14.9447619047619,2020-05-11
132,14.9894246031746,2020-05-12
133,15.0334325396825,2020-05-13
134,15.076746031746,2020-05-14
135,15.1194642857143,2020-05-15
136,15.1612896825397,2020-05-16
137,15.2025396825397,2020-05-17
138,15.2429166666667,2020-05-18
139,15.2825,2020-05-19
140,15.32125,2020-05-20
141,15.3591468253968,2020-05-21
142,15.3962103174603,2020-05-22
143,15.4323214285714,2020-05-23
144,15.4675396825397,2020-05-24
145,15.5018253968254,2020-05-25
146,15.5350595238095,2020-05-26
147,15.5674206349206,2020-05-27
148,15.598630952381,2020-05-28
149,15.6288492063492,2020-05-29
150,15.6580158730159,2020-05-30
151,15.6860515873016,2020-05-31
152,15.712996031746,2020-06-01
153,15.7387698412698,2020-06-02
154,15.7633928571429,2020-06-03
155,15.7868849206349,2020-06-04
156,15.809126984127,2020-06-05
157,15.8301388888889,2020-06-06
158,15.8499007936508,2020-06-07
159,15.8683531746032,2020-06-08
160,15.8856150793651,2020-06-09
161,15.9015873015873,2020-06-10
162,15.9161706349206,2020-06-11
163,15.9294642857143,2020-06-12
164,15.9414484126984,2020-06-13
165,15.9520634920635,2020-06-14
166,15.9613293650794,2020-06-15
167,15.9692658730159,2020-06-16
168,15.9758134920635,2020-06-17
169,15.9808531746032,2020-06-18
170,15.9846825396825,2020-06-19
171,15.9870436507937,2020-06-20
172,15.9880555555556,2020-06-21
173,15.9876388888889,2020-06-22
174,15.9858134920635,2020-06-23
175,15.9826388888889,2020-06-24
176,15.9780555555556,2020-06-25
177,15.9722420634921,2020-06-26
178,15.9648015873016,2020-06-27
179,15.9560912698413,2020-06-28
180,15.9461111111111,2020-06-29
181,15.9347222222222,2020-06-30
182,15.9220436507937,2020-07-01
183,15.9079563492063,2020-07-02
184,15.8925992063492,2020-07-03
185,15.8760119047619,2020-07-04
186,15.8581746031746,2020-07-05
187,15.8390476190476,2020-07-06
188,15.8186111111111,2020-07-07
189,15.7969246031746,2020-07-08
190,15.774126984127,2020-07-09
191,15.7502182539683,2020-07-10
192,15.7251388888889,2020-07-11
193,15.6987698412698,2020-07-12
194,15.6714484126984,2020-07-13
195,15.6429365079365,2020-07-14
196,15.6133928571429,2020-07-15
197,15.5828373015873,2020-07-16
198,15.5512103174603,2020-07-17
199,15.5186904761905,2020-07-18
200,15.485119047619,2020-07-19
201,15.4506150793651,2020-07-20
202,15.4151984126984,2020-07-21
203,15.3789285714286,2020-07-22
204,15.3417857142857,2020-07-23
205,15.30375,2020-07-24
206,15.2649206349206,2020-07-25
207,15.2253571428571,2020-07-26
208,15.1849404761905,2020-07-27
209,15.1438492063492,2020-07-28
210,15.1019246031746,2020-07-29
211,15.0594841269841,2020-07-30
212,15.0162301587302,2020-07-31
213,14.9723611111111,2020-08-01
214,14.9278968253968,2020-08-02
215,14.8827579365079,2020-08-03
216,14.8371428571429,2020-08-04
217,14.7908531746032,2020-08-05
218,14.7440873015873,2020-08-06
219,14.6967658730159,2020-08-07
220,14.6490476190476,2020-08-08
221,14.600753968254,2020-08-09
222,14.552003968254,2020-08-10
223,14.5028174603175,2020-08-11
224,14.4532142857143,2020-08-12
225,14.4031746031746,2020-08-13
226,14.3527976190476,2020-08-14
227,14.3020238095238,2020-08-15
228,14.2507341269841,2020-08-16
229,14.1993253968254,2020-08-17
230,14.1475793650794,2020-08-18
231,14.0955555555556,2020-08-19
232,14.0430555555556,2020-08-20
233,13.9903373015873,2020-08-21
234,13.9373015873016,2020-08-22
235,13.8840277777778,2020-08-23
236,13.8306349206349,2020-08-24
237,13.7769047619048,2020-08-25
238,13.7228968253968,2020-08-26
239,13.66875,2020-08-27
240,13.6144246031746,2020-08-28
241,13.5598412698413,2020-08-29
242,13.5050595238095,2020-08-30
243,13.4501984126984,2020-08-31
244,13.3950992063492,2020-09-01
245,13.3398611111111,2020-09-02
246,13.2844642857143,2020-09-03
247,13.2289484126984,2020-09-04
248,13.1733134920635,2020-09-05
249,13.1175198412698,2020-09-06
250,13.0616468253968,2020-09-07
251,13.0056150793651,2020-09-08
252,12.949503968254,2020-09-09
253,12.8933531746032,2020-09-10
254,12.8370436507937,2020-09-11
255,12.7806746031746,2020-09-12
256,12.7242063492063,2020-09-13
257,12.6677380952381,2020-09-14
258,12.6111507936508,2020-09-15
259,12.554503968254,2020-09-16
260,12.4977976190476,2020-09-17
261,12.4410714285714,2020-09-18
262,12.3842857142857,2020-09-19
263,12.3274801587302,2020-09-20
264,12.2706349206349,2020-09-21
265,12.21375,2020-09-22
266,12.1568452380952,2020-09-23
267,12.0999801587302,2020-09-24
268,12.0430357142857,2020-09-25
269,11.9860912698413,2020-09-26
270,11.9292261904762,2020-09-27
271,11.8723214285714,2020-09-28
272,11.8154166666667,2020-09-29
273,11.7585317460317,2020-09-30
274,11.7016865079365,2020-10-01
275,11.6448611111111,2020-10-02
276,11.5880952380952,2020-10-03
277,11.531369047619,2020-10-04
278,11.4747023809524,2020-10-05
279,11.4180357142857,2020-10-06
280,11.3614880952381,2020-10-07
281,11.305,2020-10-08
282,11.2485714285714,2020-10-09
283,11.1922222222222,2020-10-10
284,11.1360119047619,2020-10-11
285,11.0799007936508,2020-10-12
286,11.0239087301587,2020-10-13
287,10.967996031746,2020-10-14
288,10.9122619047619,2020-10-15
289,10.8566468253968,2020-10-16
290,10.8012103174603,2020-10-17
291,10.7458333333333,2020-10-18
292,10.6907142857143,2020-10-19
293,10.6358134920635,2020-10-20
294,10.5810119047619,2020-10-21
295,10.5264880952381,2020-10-22
296,10.4722222222222,2020-10-23
297,10.4180555555556,2020-10-24
298,10.3642857142857,2020-10-25
299,10.310753968254,2020-10-26
300,10.2574603174603,2020-10-27
301,10.2044444444444,2020-10-28
302,10.1517857142857,2020-10-29
303,10.0994841269841,2020-10-30
304,10.0474404761905,2020-10-31
305,9.99583333333333,2020-11-01
306,9.94458333333333,2020-11-02
307,9.89371031746032,2020-11-03
308,9.84329365079365,2020-11-04
309,9.79333333333333,2020-11-05
310,9.74380952380952,2020-11-06
311,9.69482142857143,2020-11-07
312,9.64628968253968,2020-11-08
313,9.59835317460317,2020-11-09
314,9.55089285714286,2020-11-10
315,9.50404761904762,2020-11-11
316,9.4578373015873,2020-11-12
317,9.41224206349206,2020-11-13
318,9.36732142857143,2020-11-14
319,9.3230753968254,2020-11-15
320,9.27950396825397,2020-11-16
321,9.23668650793651,2020-11-17
322,9.1946626984127,2020-11-18
323,9.1534126984127,2020-11-19
324,9.11303571428572,2020-11-20
325,9.07343253968254,2020-11-21
326,9.03478174603175,2020-11-22
327,8.99700396825397,2020-11-23
328,8.96017857142857,2020-11-24
329,8.9243253968254,2020-11-25
330,8.88948412698413,2020-11-26
331,8.8556746031746,2020-11-27
332,8.82295634920635,2020-11-28
333,8.79115079365079,2020-11-29
334,8.76065476190476,2020-11-30
335,8.73123015873016,2020-12-01
336,8.70305555555556,2020-12-02
337,8.67595238095238,2020-12-03
338,8.65015873015873,2020-12-04
339,8.62563492063492,2020-12-05
340,8.60236111111111,2020-12-06
341,8.58041666666667,2020-12-07
342,8.55968253968254,2020-12-08
343,8.54041666666667,2020-12-09
344,8.5225,2020-12-10
345,8.5060119047619,2020-12-11
346,8.49089285714286,2020-12-12
347,8.47708333333333,2020-12-13
348,8.46490079365079,2020-12-14
349,8.45412698412698,2020-12-15
350,8.44482142857143,2020-12-16
351,8.43696428571429,2020-12-17
352,8.43063492063492,2020-12-18
353,8.42577380952381,2020-12-19
354,8.42242063492063,2020-12-20
355,8.42069444444444,2020-12-21
356,8.42031746031746,2020-12-22
357,8.42144841269841,2020-12-23
358,8.42424603174603,2020-12-24
359,8.42843253968254,2020-12-25
360,8.43416666666667,2020-12-26
361,8.44142857142857,2020-12-27
362,8.45011904761905,2020-12-28
363,8.46037698412698,2020-12-29
364,8.47204365079365,2020-12-30
365,8.48517857142857,2020-12-31
366,8.49416666666667,2021-01-01
